Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
H6,1000,K2SO4,NTNU_4,Ar36,0.0008383994541853329,2.974840728561508e-05,8.79332975849e-06,Ar39/40,16.07300870157711,0.022811066263273012
H6,1000,K2SO4,NTNU_4,Ar37,4.048130921908392e-05,8.751943681533888e-05,3.6371438361698797e-06,Ar36/40,0.003424823076622798,0.0010166204075480341
H6,1000,K2SO4,NTNU_4,Ar38,0.00231888766637412,0.0020000513842909624,3.3082007289916863e-06,Ar39/36,4693.091684440128,1388.0300835685764
H6,1000,K2SO4,NTNU_4,Ar39,0.13956066897855526,0.13961200285745826,2.378148257500531e-05,Ar40/36,291.98588587708747,86.67274298774868
H6,1000,K2SO4,NTNU_4,Ar40,0.008894192377351957,0.008686115054722722,1.084787961892783e-05,Ar38/36,67.23221734489606,19.984372693613327
