Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
H6,600,K2SO4,NTNU_4,Ar36,0.0008591573054397642,5.0506258540046435e-05,5.009930705621959e-06,Ar39/40,3.1752844958410535,0.016572474929268426
H6,600,K2SO4,NTNU_4,Ar37,7.863525524566775e-05,0.00012567338284192272,4.353901376567043e-06,Ar36/40,0.02353587560365081,0.002434252622996358
H6,600,K2SO4,NTNU_4,Ar38,0.00048284521643804666,0.00016400893435488924,8.822734078345663e-06,Ar39/36,134.91252882678023,13.515590632618531
H6,600,K2SO4,NTNU_4,Ar39,0.006762593182313837,0.006813927061216829,6.7194940700672625e-06,Ar40/36,42.48832789738586,4.39445403998046
H6,600,K2SO4,NTNU_4,Ar40,0.0023540037963488726,0.0021459264737196376,9.083853321957163e-06,Ar38/36,3.2472992277748407,0.4967993851697067
