Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
H6,1200,K2SO4,NTNU_4,Ar36,0.0007912039705173687,-1.7447076382349092e-05,6.0926368776886934e-06,Ar39/40,7.248225873161576,0.0073199986143693795
H6,1200,K2SO4,NTNU_4,Ar37,-3.305175470852046e-05,1.3986372887734502e-05,5.79634132279276e-06,Ar36/40,-0.0014613999694032243,0.000508991729215
H6,1200,K2SO4,NTNU_4,Ar38,0.0015160768947952183,0.0011972406127120608,7.878512551317728e-06,Ar39/36,-4959.7824174866055,1731.5250150115178
H6,1200,K2SO4,NTNU_4,Ar39,0.08648236879881785,0.08653370267772084,8.104067236764934e-06,Ar40/36,-684.2753667282194,238.3266111004862
H6,1200,K2SO4,NTNU_4,Ar40,0.012146681912496416,0.011938604589867181,1.093874600571506e-05,Ar38/36,-68.62127421665262,23.51144594919334
