Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
H6,800,K2SO4,NTNU_4,Ar36,0.0009277423041415241,0.0001190912572418063,6.2135185299859485e-06,Ar39/40,22.921893413389228,0.033092768816242506
H6,800,K2SO4,NTNU_4,Ar37,0.0001846010205419748,0.00023163914813822977,7.114341100273196e-06,Ar36/40,0.013216391500439486,0.0007074703707903376
H6,800,K2SO4,NTNU_4,Ar38,0.0030298038673674046,0.002710967585284247,3.7652060793375326e-06,Ar39/36,1734.3533908349343,90.64218506159473
H6,800,K2SO4,NTNU_4,Ar39,0.20649499193721918,0.20654632581612217,1.8254846632964573e-05,Ar40/36,75.66361816436407,4.05025592623381
H6,800,K2SO4,NTNU_4,Ar40,0.009218952737287324,0.009010875414658089,1.221277689620349e-05,Ar38/36,22.763783405022092,1.2193035781307913
