Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt B3,400,K2SO4,ntnu-5,Ar36,0.000630990621542023,-0.00027110801359311214,4.6050484535928005e-06,Ar39/40,-4.452796296515167,-0.007055567527935497
Salt B3,400,K2SO4,ntnu-5,Ar37,5.3599153806978395e-06,-0.004848292855966705,1.4270617959237922e-06,Ar36/40,0.003430711204451786,5.85192209440714e-05
Salt B3,400,K2SO4,ntnu-5,Ar38,0.004383392047087737,0.004244858935432637,7.077104134784646e-06,Ar39/36,-1297.9222182086023,-22.04955901506863
Salt B3,400,K2SO4,ntnu-5,Ar39,0.3514727833972745,0.3518771143769,9.885521361818748e-05,Ar40/36,291.48475065530795,4.971989628066417
Salt B3,400,K2SO4,ntnu-5,Ar40,0.21096791591634553,-0.07902385174284413,0.00012323146659436686,Ar38/36,-15.6574454556827,-0.2672358464982813
