Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt A3,400,K2SO4,ntnu-5,Ar36,0.0007641996850846999,-3.7172342229384726e-05,1.3669581043372717e-05,Ar39/40,-5.7015067553424235,-0.09571754211734687
Salt A3,400,K2SO4,ntnu-5,Ar37,9.214038628480656e-05,7.045674435645927e-05,6.149413318159785e-06,Ar36/40,0.0010996724335731321,0.00040480657666089076
Salt A3,400,K2SO4,ntnu-5,Ar38,0.0024948620876745673,0.0023390005640579713,1.739515673658075e-05,Ar39/36,-5184.73190858908,-1906.6226397148619
Salt A3,400,K2SO4,ntnu-5,Ar39,0.19284834678672846,0.19272862887368433,0.0002705128516066091,Ar40/36,909.3617057860862,334.75022909291897
Salt A3,400,K2SO4,ntnu-5,Ar40,0.2553826280040559,-0.03380310453777746,0.0005655034853922047,Ar38/36,-62.92314187856024,-23.14378960032626
