Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt A3,400,K2SO4,ntnu-5,Ar36,0.0007459128946958336,-0.00015618574043930154,3.0107030227362825e-06,Ar39/40,-5.609328006012483,-0.018187825896112498
Salt A3,400,K2SO4,ntnu-5,Ar37,8.667659699416627e-07,-0.005159280718332219,1.528800911489055e-06,Ar36/40,0.00448164787105546,8.759145529532921e-05
Salt A3,400,K2SO4,ntnu-5,Ar38,0.0021100587803567707,0.0019715256687016704,4.628403010785367e-06,Ar39/36,-1251.6217622183347,-24.130283658527386
Salt A3,400,K2SO4,ntnu-5,Ar39,0.19531858173466765,0.195485471682014,6.40794408267026e-05,Ar40/36,223.13221135878595,4.361001952520242
Salt A3,400,K2SO4,ntnu-5,Ar40,0.25514169801225894,-0.034850069646930715,0.00011241981034529649,Ar38/36,-12.622955611417447,-0.24512336137884527
