Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt B3,400,K2SO4,ntnu-5,Ar36,0.0007505245098191744,-5.084751749491023e-05,1.170630584997679e-05,Ar39/40,-4.5322239519852445,-0.03719916168033335
Salt B3,400,K2SO4,ntnu-5,Ar37,2.8877321596234514e-05,7.193679667887225e-06,7.866813493396178e-06,Ar36/40,0.0006588742895628709,0.00015178259700458804
Salt B3,400,K2SO4,ntnu-5,Ar38,0.004383392047087737,0.004227530523471142,1.9436780436274272e-05,Ar39/36,-6878.738514735704,-1583.672708124032
Salt B3,400,K2SO4,ntnu-5,Ar39,0.3498864948839806,0.3497667769709365,0.0004412261539699335,Ar40/36,1517.7402060466625,349.6365751422435
Salt B3,400,K2SO4,ntnu-5,Ar40,0.21201241086214706,-0.07717332167968632,0.0006258898591498877,Ar38/36,-83.1413357376653,-19.144926123964684
