Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K A1,400,K2SO4,ntnu-5,Ar36,0.0006841596596857488,0.0002236803971845128,1.8905425199076647e-06,Ar39/40,6.329215530064637,0.007832123427460522
K A1,400,K2SO4,ntnu-5,Ar37,6.690502434231078e-06,-0.00234759919963163,5.4462284064727e-07,Ar36/40,0.004265938409052389,3.643596936927047e-05
K A1,400,K2SO4,ntnu-5,Ar38,0.004333283962388317,0.004221614899520217,2.311960123367958e-06,Ar39/36,1483.66312946149,12.541318417611496
K A1,400,K2SO4,ntnu-5,Ar39,0.3314330629104558,0.33186635808596326,4.22944853215491e-05,Ar40/36,234.41501121487926,2.0021709995151604
K A1,400,K2SO4,ntnu-5,Ar40,0.19464505866971865,0.052434042814556214,6.453977647083362e-05,Ar38/36,18.873423655618016,0.15985233367190807
