Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt B2-2,400,K2SO4,ntnu-5,Ar36,0.0007077957815034842,-9.357624581060044e-05,2.1996127492369683e-05,Ar39/40,-9.391550855191971,-0.07780551697426452
Salt B2-2,400,K2SO4,ntnu-5,Ar37,8.97295169622702e-05,6.804587503392291e-05,7.03255153178688e-06,Ar36/40,0.0013700777240595958,0.00032224788555932125
Salt B2-2,400,K2SO4,ntnu-5,Ar38,0.008824323309603884,0.008668461785987288,3.439255623660485e-05,Ar39/36,-6854.757719412024,-1611.3060378166053
Salt B2-2,400,K2SO4,ntnu-5,Ar39,0.6415622112368545,0.6414424933238104,0.0007459346571516584,Ar40/36,729.8855987797242,171.672078727071
Salt B2-2,400,K2SO4,ntnu-5,Ar40,0.22088577833680462,-0.06829995420502877,0.0005602375976076269,Ar38/36,-92.63528057678622,-21.778044804366274
