Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt B1,400,K2SO4,ntnu-5,Ar36,0.0005877377948209464,-0.00021363423249313822,1.865932578523617e-05,Ar39/40,-6.013301314817568,-0.04108705945098727
Salt B1,400,K2SO4,ntnu-5,Ar37,9.203896186883435e-05,7.035531994048707e-05,6.98460369427767e-06,Ar36/40,0.002460412085857443,0.0002155431027824208
Salt B1,400,K2SO4,ntnu-5,Ar38,0.007142316159852466,0.00698645463623587,4.87557172314312e-05,Ar39/36,-2444.022019474822,-213.478440348525
Salt B1,400,K2SO4,ntnu-5,Ar39,0.5222464862398775,0.5221267683268334,0.00047748839452158145,Ar40/36,406.4359810895273,35.605609706604994
Salt B1,400,K2SO4,ntnu-5,Ar40,0.2023570936641766,-0.0868286388776568,0.0005879357588680006,Ar38/36,-32.702879846095215,-2.8654507283405106
