Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K2SO4 A2,400,K,ntnu-5,Ar36,0.0010043549496765694,0.000496317217386393,1.4645897423206312e-06,Ar39/40,12.714703603847516,0.014612892327380762
K2SO4 A2,400,K,ntnu-5,Ar37,5.585056263527472e-05,0.0025924691255952807,6.83234199891135e-07,Ar36/40,0.0023058364746703355,7.2210894474749235e-06
K2SO4 A2,400,K,ntnu-5,Ar38,0.034037827758874574,0.033935788477139454,1.4736295962539667e-05,Ar39/36,5514.139334475282,16.477395117720032
K2SO4 A2,400,K,ntnu-5,Ar39,2.7326170352630093,2.7367622907676292,0.0012879939488147456,Ar40/36,433.6820980086932,1.3581436740595803
K2SO4 A2,400,K,ntnu-5,Ar40,0.36899330219975063,0.21524389211396755,0.00022568604324478257,Ar38/36,68.37519894201002,0.20394227931937606
