Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K A2,400,K2SO4,ntnu-5,Ar36,0.0005811663125282031,0.00012068705002696713,2.190927811663044e-06,Ar39/40,4.472112302316393,0.004836708438704456
K A2,400,K2SO4,ntnu-5,Ar37,3.94969607387938e-05,0.00011020934292619551,3.6968355277193615e-07,Ar36/40,0.0018150385886291115,3.300759956566151e-05
K A2,400,K2SO4,ntnu-5,Ar38,0.003952399542047056,0.003840730479178956,4.829106572347122e-06,Ar39/36,2463.921334969608,44.7304155593971
K A2,400,K2SO4,ntnu-5,Ar39,0.29698346461521113,0.29736339741598866,3.4166561791303837e-05,Ar40/36,550.9524735533553,10.01941156551132
K A2,400,K2SO4,ntnu-5,Ar40,0.2087038445933775,0.06649282873821508,7.15067902185018e-05,Ar38/36,31.823882333032067,0.5791082136146495
