Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K C3,400,K2SO4,ntnu-5,Ar36,0.0006980286704118024,0.00023754940791056642,1.5571796428494577e-06,Ar39/40,6.8385690517013344,0.008784248376183707
K C3,400,K2SO4,ntnu-5,Ar37,5.155407242027266e-05,1.5921722083363506e-05,4.5036852592774177e-07,Ar36/40,0.00343833901557578,2.600171241192415e-05
K C3,400,K2SO4,ntnu-5,Ar38,0.006073366621005013,0.005961697558136914,3.54596854900782e-06,Ar39/36,1988.9164566735299,13.589453005339546
K C3,400,K2SO4,ntnu-5,Ar39,0.47254589692133164,0.47246592666637877,0.0001310662975865806,Ar40/36,290.83810394203994,2.1994017177691982
K C3,400,K2SO4,ntnu-5,Ar40,0.21138887632286169,0.06908841938926336,6.957940099007658e-05,Ar38/36,25.0966635133917,0.17944048966668916
