Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt B1,400,K2SO4,ntnu-5,Ar36,0.000393459592090497,-0.0005086390430446381,4.9202739009401624e-06,Ar39/40,-5.957957497913694,-0.007611318990339559
Salt B1,400,K2SO4,ntnu-5,Ar37,2.8805086918531423e-05,-0.0032255638717292173,1.6868868312902243e-06,Ar36/40,0.005790563379458729,5.648530175762886e-05
Salt B1,400,K2SO4,ntnu-5,Ar38,0.006943267351864086,0.006804734240208986,6.994754634896729e-06,Ar39/36,-1028.9080884683472,-9.95583538290722
Salt B1,400,K2SO4,ntnu-5,Ar39,0.5226781673389643,0.523342825499428,0.0001197866150958451,Ar40/36,172.694768102767,1.6845884327684109
Salt B1,400,K2SO4,ntnu-5,Ar40,0.20215246607258255,-0.0878393015866071,0.00011039932303487254,Ar38/36,-13.37831677151021,-0.13014254808588305
