Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt B2-2,400,K2SO4,ntnu-5,Ar36,0.0008088285145559766,-9.200838388155749e-05,6.321982319115012e-06,Ar39/40,-9.281645249044105,0.010990085901781051
Salt B2-2,400,K2SO4,ntnu-5,Ar37,3.465344753961005e-05,-4.6060354248330705e-05,9.743056180166196e-07,Ar36/40,0.0013314096908783248,-9.360629127093437e-05
Salt B2-2,400,K2SO4,ntnu-5,Ar38,0.007865547910184081,0.007723887467636022,1.1635423486397947e-05,Ar39/36,-6971.291641208534,476.1377572289376
Salt B2-2,400,K2SO4,ntnu-5,Ar39,0.6415622112368545,0.6414172774746077,0.0002637169494907218,Ar40/36,751.0836122428286,-52.80579813869847
Salt B2-2,400,K2SO4,ntnu-5,Ar40,0.22088577833680462,-0.06910598932238504,0.00011023882954120383,Ar38/36,-83.94764848363158,5.641661162385111
