Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
Salt A3,400,K2SO4,ntnu-5,Ar36,0.0007459128946958336,0.00021510391193645811,1.6631618794460079e-06,Ar39/40,1.906814733342967,0.002945410498848396
Salt A3,400,K2SO4,ntnu-5,Ar37,4.5879339979235864e-05,2.040399399257543e-05,1.1699337870275534e-06,Ar36/40,0.002121501707234772,1.8790790490761426e-05
Salt A3,400,K2SO4,ntnu-5,Ar38,0.0021100587803567707,0.0020069162228873814,4.201256594788972e-06,Ar39/36,898.8042417502296,7.326305185275338
Salt A3,400,K2SO4,ntnu-5,Ar39,0.19344202622349307,0.1933363084655564,8.105995342972704e-05,Ar40/36,471.36422119755423,4.175017297963452
Salt A3,400,K2SO4,ntnu-5,Ar40,0.25514169801225894,0.10139228792647587,0.00011410754916379141,Ar38/36,9.329984772569949,0.09166979543432903
