Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K C3,400,K2SO4,ntnu-5,Ar36,0.000705278686124304,-0.00019681994901083117,2.788598721055663e-06,Ar39/40,-5.6381090461552805,-0.013489684909518702
K C3,400,K2SO4,ntnu-5,Ar37,1.6028438173338507e-05,-0.0044486239163799455,1.1969656856097024e-06,Ar36/40,0.002361214498147513,3.3923267015922035e-05
K C3,400,K2SO4,ntnu-5,Ar38,0.006078592391543369,0.005940059279888269,3.983982057374652e-06,Ar39/36,-2387.800452088808,-33.83584655597344
K C3,400,K2SO4,ntnu-5,Ar39,0.469369816473826,0.46996676322815883,0.00011261884084472222,Ar40/36,423.51086730347805,6.084526520971354
K C3,400,K2SO4,ntnu-5,Ar40,0.20663638035098622,-0.08335538730820344,0.00019843248479119028,Ar38/36,-30.180168777309166,-0.4280796968640326
