Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K2SO4,1000,Salt,NTNU_4,Ar36,0.000594274835633052,-1.6371857698251448e-05,8.479699810097823e-06,Ar39/40,16.696378616642164,0.01566724640979937
K2SO4,1000,Salt,NTNU_4,Ar37,2.8845740182427712e-05,-3.557717470400774e-05,6.581535885126382e-06,Ar36/40,-0.0023785341449470863,0.0012299408976247205
K2SO4,1000,Salt,NTNU_4,Ar38,0.0018806365509461212,0.0016528216150492158,9.440948207645942e-06,Ar39/36,-7019.608548446378,3635.094267654199
K2SO4,1000,Salt,NTNU_4,Ar39,0.11492549903780377,0.11492403225259351,1.092720545769532e-05,Ar40/36,-420.4270105284725,217.4029646846087
K2SO4,1000,Salt,NTNU_4,Ar40,0.007131919593055891,0.006883171188873416,5.804440343884974e-06,Ar38/36,-100.95504404645179,51.71236735779168
