Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K2SO4,800,Salt,NTNU_4,Ar36,0.00044640702118606,-0.00016423967214524343,8.642007350801943e-06,Ar39/40,17.592460715315585,0.014403854498808077
K2SO4,800,Salt,NTNU_4,Ar37,1.2628425869017287e-05,-5.1794489017418165e-05,6.506539044042339e-06,Ar36/40,-0.01583417220144899,0.0008216857958889442
K2SO4,800,Salt,NTNU_4,Ar38,0.002757581040313733,0.0025297661044168277,9.064852379648152e-06,Ar39/36,-1111.0439176419777,58.35712851368943
K2SO4,800,Salt,NTNU_4,Ar39,0.18247895555769553,0.18247748877248526,1.709404889957081e-05,Ar40/36,-63.15454873659197,3.2772913533102117
K2SO4,800,Salt,NTNU_4,Ar40,0.010621230783161139,0.010372482378978663,7.5208170260970266e-06,Ar38/36,-15.402893048761438,0.7552807488659913
