Samp#,t,Min,iradiation PK 90%,Mass,Raw,Measurment,Measurement's Sigma,Ratio,Value,Ratio's Sigma
K2SO4,600,Salt,NTNU_4,Ar36,0.0005527818814023061,-5.786481192899737e-05,9.74265841958821e-06,Ar39/40,14.454110479686067,0.07233076748509783
K2SO4,600,Salt,NTNU_4,Ar37,-8.623052838873827e-05,-0.00015065344327517372,6.697557735199592e-06,Ar36/40,-0.03433501523988056,0.005623240181097227
K2SO4,600,Salt,NTNU_4,Ar38,0.0005475462115802511,0.0003197312756833458,8.899742148349815e-06,Ar39/36,-420.9728866785948,70.70609292627009
K2SO4,600,Salt,NTNU_4,Ar39,0.024360983700074276,0.024359516914864012,1.000026940473463e-05,Ar40/36,-29.12478683971828,4.769931525551443
K2SO4,600,Salt,NTNU_4,Ar40,0.001934048717134912,0.001685300312952436,7.741659082463369e-06,Ar38/36,-5.525487166115219,0.7765201409116164
